time_stamp,product_name,units_sold,retail_price
2018-10-08 09:30:43.271277,Clara Certified Katela 6.5 cts or 7.25 ratti 4 Prongs Sterling Silver Amethyst Ring,53,5270.0
2018-10-10 13:47:02.471277,Clara Certified Katela 5.5 cts or 6.25 ratti Elegant Sterling Silver Amethyst Ring,34,4750.0
2018-10-11 02:14:52.871277,Clara Certified Katela 3 cts or 3.25 ratti 4 Prongs Sterling Silver Amethyst Ring,80,3530.0
2018-10-07 09:33:36.071277,BlueStone The Princess Gold Diamond 18 K Ring,90,35415.0
2018-10-12 04:27:50.471277,Varanga Casual Short Sleeve Printed Women's Top,2,1199.0
2018-10-09 20:00:00.071277,Varanga Casual Short Sleeve Printed Women's Top,51,1199.0
2018-10-08 12:03:50.471277,Orous Casual 3/4 Sleeve Printed Women's Top,89,2400.0
2018-10-06 16:22:33.671277,Nishtaa Yellow Gold Cubic Zirconia 22 K Ring,79,11820.0
2018-10-10 02:44:09.671277,Jaune Women's Sheath Dress,39,2899.0
2018-10-11 21:33:36.071277,Living World by Home Stop Solid Wood Display Unit,59,5499.0
2018-10-07 01:24:57.671277,Status Quo Men's Solid Casual Shirt,78,1699.0
2018-10-07 01:24:00.01342,Asian Gems & Jewels 5 Dhaatu Metal| Alloy Zircon Ring,75,3030.0
2018-10-10 06:24:00.071277,Sarva Casual| Party Sleeveless Self Design| Printed Women's Top,98,2325.0
2018-10-10 06:18:43.271277,Sarva Party| Casual Sleeveless Self Design Women's Top,94,2550.0
2018-10-12 10:21:36.071277,PrettyPataka Party Full Sleeve Woven Women's Top,35,2500.0
2018-10-09 14:59:02.471277,Sarva Party| Formal| Casual Sleeveless Embellished Women's Top,98,2700.0
2018-10-12 05:20:38.471277,Tenn Casual| Party Sleeveless Floral Print Women's Top,20,2000.0
2018-10-09 00:02:24.071277,Maggie Party Sleeveless Floral Print Women's Top,18,1999.0
2018-10-07 02:25:55.271277,Retaaz Casual| Party| Festive Sleeveless Floral Print Women's Top,1,2999.0
2018-10-09 15:00:00.071277,Retaaz Casual| Party| Festive Sleeveless Floral Print Women's Top,39,2999.0
2018-10-12 08:12:28.871277,Bostan Running Shoes,94,499.0
2018-10-07 17:39:21.671277,Urban Fashion Bank Casual| Party| Festive| Lounge Wear Sleeveless Embellished Women's Top,39,600.0
2018-10-06 17:52:48.071277,Wowww Casual Short Sleeve Solid Women's Top,41,1500.0
2018-10-06 20:46:04.871277,Urban Fashion Bank Casual| Party| Festive| Lounge Wear Sleeveless Printed Women's Top,93,1500.0
2018-10-12 06:10:33.671277,Urban Fashion Bank Casual 3/4 Sleeve Solid Women's Top,16,700.0
2018-10-11 15:31:40.871277,Hangover Solid Round Neck Women's Sweater,43,1599.0
2018-10-11 23:30:14.471277,Elson Self Design V-neck Women's Sweater,45,1595.0
2018-10-06 23:14:52.871277,WearYourShine by PCJ The Adriyel Gold Diamond 18 K Ring,95,28963.0
2018-10-07 03:55:12.071277,Asian Gems & Jewels 5.25 Ratti 5 Dhaatu Sterling Silver| Metal| Alloy Coral Ring,9,1743.0
2018-10-11 01:04:19.271277,TeeMoods Casual Full Sleeve Striped Women's Top,84,999.0
2018-10-12 05:48:57.671277,TeeMoods Casual Full Sleeve Striped Women's Top,38,999.0
2018-10-12 10:10:04.871277,Colbrii Casual Full Sleeve Printed Women's Top,29,1100.0
2018-10-12 04:08:09.671277,KuberBox Ravishing Ring White Gold Diamond| Topaz 14K White Gold 14 K Ring,41,8538.0
2018-10-10 21:35:31.271277,My Addiction Casual Full Sleeve Embroidered Women's Top,44,1199.0
2018-10-11 01:04:48.071277,SFDS Casual| Formal| Party Full Sleeve Printed Women's Top,18,2500.0
2018-10-09 15:02:52.871277,Membooz Casual| Party Short Sleeve Self Design Women's Top,88,1200.0
2018-10-09 12:17:45.671277,Sheezworld Casual Full Sleeve Self Design Women's Top,98,1295.0
2018-10-11 18:47:02.471277,Karatcraft Wadell Gold Diamond 18 K Ring,97,42321.0
2018-10-08 07:46:33.671277,Karatcraft Twinoh Gold Diamond 18 K Ring,71,32528.0
2018-10-07 03:41:45.671277,Karatcraft Clariz Gold Diamond 18 K Ring,32,32658.0
2018-10-10 17:03:50.471277,Herberto Girl's A-line Dress,50,1699.0
2018-10-12 03:27:21.671277,Karatcraft Solitana Gold Diamond 18 K Ring,36,30176.0
2018-10-11 07:21:07.271277,Peppermint Blues Casual Sleeveless Printed Women's Top,92,399.0
2018-10-09 05:15:50.471277,Nishtaa Yellow Gold 22 K Ring,99,18350.0
2018-10-08 07:33:07.271277,Xpert Schoolboys Blk Lace Up Shoes,74,399.0
2018-10-08 12:21:07.271277,Just In Time Fashions Women's A-line Dress,27,2499.0
2018-10-08 06:50:52.871277,Yepme Women's Gathered Dress,75,1799.0
2018-10-12 12:33:36.071277,Van Heusen Men's Printed Party Shirt,57,2099.0
2018-10-12 01:31:12.071277,Eshoppee Laughing Buddha For Success And Wealth Showpiece  -  12 cm,1,799.0
2018-10-09 11:48:28.871277,Karatcraft Triniya Promise Gold Diamond 18 K Ring,56,49999.0
2018-10-09 08:07:40.871277,Nishtaa Yellow Gold 22 K Ring,27,8190.0
2018-10-06 14:11:02.471277,Mykraft Girl's A-line Dress,24,1205.0
2018-10-11 10:27:21.671277,The Cranberry Club Girl's Gathered Dress,70,1299.0
2018-10-11 10:36:00.071277,Fashion Tree Men's Solid Formal Shirt,98,999.0
2018-10-11 19:51:50.471277,Fashion Tree Men's Solid Formal Shirt,66,999.0
2018-10-08 19:29:16.871277,Fashion Tree Men's Solid Formal Shirt,70,999.0
2018-10-07 20:15:21.671277,Peter England Men's Solid Formal Shirt,22,1399.0
2018-10-08 07:54:14.471277,Gee & Bee Casual Printed Women's Kurti,99,1664.0
2018-10-09 15:34:04.871277,Gee & Bee Casual Printed Women's Kurti,59,2499.0
2018-10-10 18:49:26.471277,Dumdaar.Com Casual Short Sleeve Self Design Women's Top,20,999.0
2018-10-10 19:14:24.071277,F&S Casual| Party Short Sleeve Self Design Women's Top,17,1299.0
2018-10-08 17:25:55.271277,Oviya Casual Sleeveless Self Design Women's Top,27,999.0
2018-10-06 21:21:36.071277,The Clove Casual 3/4 Sleeve Self Design Women's Top,54,800.0
2018-10-06 18:27:50.471277,The Vanca Formal Full Sleeve Self Design Women's Top,64,1499.0
2018-10-10 08:35:02.471277,Fantasy Ika Casual Short Sleeve Solid Women's Top,35,950.0
2018-10-10 14:07:12.071277,Fantasy Ika Casual 3/4 Sleeve Self Design Women's Top,84,849.0
2018-10-10 09:18:43.271277,Ausy Casual Short Sleeve Floral Print Women's Top,18,999.0
2018-10-08 18:31:12.071277,Ausy Casual Short Sleeve Printed Women's Top,78,999.0
2018-10-12 07:05:45.671277,Karatcraft Triniya Promise Gold Diamond 18 K Ring,11,47822.0
2018-10-07 09:15:50.471277,WearYourShine by PCJ The Joe Gold Diamond 18 K Ring,73,29366.0
2018-10-09 05:59:31.271277,Shilpkala Casual Short Sleeve Printed Women's Top,20,999.0
2018-10-12 14:55:12.071277,Shilpkala Casual Sleeveless Solid Women's Top,91,699.0
2018-10-10 10:52:48.071277,Shilpkala Casual Cape Sleeve Printed Women's Top,39,799.0
2018-10-07 17:52:19.271277,Shilpkala Casual Bell Sleeve Printed Women's Top,1,799.0
2018-10-11 01:29:16.871277,Shilpkala Casual Sleeveless Printed Women's Top,7,999.0
2018-10-11 14:40:48.071277,Shilpkala Casual Sleeveless Embellished Women's Top,73,899.0
2018-10-11 05:31:12.071277,Shilpkala Casual Short Sleeve Printed Women's Top,54,999.0
2018-10-07 07:36:28.871277,Shilpkala Casual Sleeveless Printed Women's Top,19,699.0
2018-10-08 05:43:12.071277,Shilpkala Casual Sleeveless Printed Women's Top,49,999.0
2018-10-10 08:31:12.071277,Shilpkala Casual Sleeveless Printed Women's Top,28,999.0
2018-10-07 21:37:55.271277,Shilpkala Casual Bell Sleeve Printed Women's Top,97,799.0
2018-10-08 15:12:28.871277,Shilpkala Casual Sleeveless Printed Women's Top,74,699.0
2018-10-09 12:52:19.271277,Karatcraft Celebra Gold Diamond 18 K Ring,54,32524.0
2018-10-06 10:01:26.471277,Kids On Board Girl's Gathered Dress,45,1499.0
2018-10-10 01:46:04.871277,ABHIRA Girl's A-line Dress,29,1999.0
2018-10-08 17:58:04.871277,Herberto Girl's High Low Dress,32,1899.0
2018-10-06 14:12:28.871277,Herberto Girl's A-line Dress,58,1899.0
2018-10-10 23:31:12.071277,Megha Casual Short Sleeve Printed Women's Top,8,310.0
2018-10-08 09:44:09.671277,Karatcraft Duilla Ruby Gold Diamond 18 K Ring,20,49999.0
2018-10-07 02:00:28.871277,Karatcraft Journa Gold Diamond 18 K Ring,64,45345.0
2018-10-10 23:56:38.471277,CaratLane Fantasia Band White Gold Diamond 18 K Ring,82,31033.0
2018-10-08 09:11:02.471277,Karigaari Set Of 5 Adivasi Doing Merry On Trumpet Showpiece  -  30 cm,36,4500.0
2018-10-11 01:17:16.871277,WearYourShine by PCJ The Sharman Gold Diamond 18 K Ring,37,29292.0
2018-10-07 01:55:12.071277,SFDS Casual| Formal| Party Short Sleeve Self Design Women's Top,18,2599.0
2018-10-11 17:19:40.871277,SFDS Casual| Formal| Party Sleeveless Self Design Women's Top,31,2299.0
2018-10-10 02:02:52.871277,SFDS Casual| Formal| Party Sleeveless Self Design Women's Top,62,2299.0
2018-10-11 13:09:07.271277,SFDS Casual| Formal| Party Short Sleeve Self Design Women's Top,56,2299.0
2018-10-10 05:08:38.471277,SFDS Casual| Formal| Party Sleeveless Self Design Women's Top,11,2299.0
2018-10-11 16:53:16.871277,Nishtaa Yellow Gold 22 K Ring,78,6740.0
2018-10-10 18:10:04.871277,SFDS Casual| Formal| Party Sleeveless Self Design Women's Top,15,1999.0
2018-10-08 15:21:07.271277,SFDS Casual| Formal| Party Short Sleeve Self Design Women's Top,58,2299.0
2018-10-07 00:47:31.271277,Totta Pouch for Sony Xperia M5 Dual,8,799.0
2018-10-08 07:58:33.671277,Lee Mark Men's Solid Formal Shirt,37,1699.0
2018-10-12 02:33:36.071277,Kalakruti K Jewellery B Jewelry box| Makeup Vanity Multi Purpose,6,600.0
2018-10-06 14:51:21.671277,Karatcraft Trilic Gold Diamond 18 K Ring,37,48596.0
2018-10-07 01:55:40.871277,Karatcraft Wadell Gold Diamond 18 K Ring,89,44226.0
2018-10-09 17:14:24.071277,YNA Aviator Sunglasses,65,1199.0
2018-10-11 10:57:07.271277,Ditu&Kritu Warrior Aviator Sunglasses,82,999.0
2018-10-06 09:05:16.871277,American Crew Solid Women's Track Pants,32,799.0
2018-10-10 10:21:36.071277,Allen Solly Girl's Gathered Dress,95,1599.0
2018-10-07 11:13:55.271277,Abr Casual Shoes,45,499.0
2018-10-08 19:22:33.671277,Allen Solly Girl's A-line Dress,37,1999.0
2018-10-08 17:35:02.471277,Allen Solly Girl's Gathered Dress,66,1699.0
2018-10-07 00:21:36.071277,Allen Solly Girl's Shift Dress,22,2099.0
2018-10-07 12:31:40.871277,Petals Girl's Gathered Dress,86,1685.0
2018-10-06 09:59:02.471277,Allen Solly Girl's Layered Dress,8,1299.0
2018-10-09 11:36:00.071277,Karatcraft Donna Gold Diamond 18 K Ring,59,49542.0
2018-10-11 21:03:21.671277,Absurd Full Sleeve Solid Men's Sweatshirt,40,1375.0
2018-10-06 12:26:24.071277,Escocer Women's Leggings,31,2394.0
2018-10-07 11:00:28.871277,Absurd Full Sleeve Solid Men's Reversible Sweatshirt,87,1799.0
2018-10-06 19:43:12.071277,Absurd Full Sleeve Solid Men's Sweatshirt,38,1395.0
2018-10-09 04:53:16.871277,Selfcare Soft & Comfortable Newly Launched Girl's Top - Pyjama Set,46,699.0
2018-10-07 07:47:31.271277,Selfcare Soft & Comfortable Newly Launched Girl's Top - Pyjama Set,38,699.0
2018-10-08 17:57:36.071277,WearYourShine by PCJ The Melina Gold Diamond 18 K Ring,42,23949.0
2018-10-08 19:03:50.471277,WearYourShine by PCJ The Radelle Diamond Gold Diamond Yellow Gold 18 K Ring,61,31673.0
2018-10-09 00:49:26.471277,WearYourShine by PCJ The Helaine Gold Diamond 18 K Ring,32,31663.0
2018-10-07 23:35:31.271277,Ozel Studio Casual 3/4 Sleeve Solid Women's Top,38,2400.0
2018-10-08 07:38:52.871277,Ozel Studio Casual Sleeveless Solid Women's Top,28,1190.0
2018-10-06 21:34:33.671277,Shopaholic Casual 3/4 Sleeve Solid Women's Top,11,1299.0
2018-10-10 08:48:28.871277,Fashion Flow+ Women's Leggings,86,1199.0
2018-10-06 16:51:21.671277,Ozel Studio Casual Short Sleeve Solid Women's Top,27,4000.0
2018-10-07 10:42:14.471277,Ozel Studio Casual Full Sleeve Solid Women's Top,68,1450.0
2018-10-10 16:25:55.271277,Shilpi Casual Cape Sleeve Solid Women's Top,88,499.0
2018-10-09 04:20:09.671277,Yepme Casual Short Sleeve Solid Women's Top,53,999.0
2018-10-09 13:51:21.671277,Ozel Studio Casual Sleeveless Solid Women's Top,28,999.0
2018-10-06 10:24:00.071277,Ozel Studio Casual Full Sleeve Solid Women's Top,56,1450.0
2018-10-09 21:19:12.071277,CaratLane Swish Ray White Gold Diamond 18 K Ring,48,31062.0
2018-10-10 02:09:07.271277,WearYourShine by PCJ The Maryse Diamond Gold Diamond Yellow Gold 18 K Ring,67,20717.0
2018-10-09 18:17:45.671277,Claude Lorrain Black Casuals Shoes,78,2750.0
2018-10-12 05:43:12.071277,Steppings Running Shoes Casuals Shoes,3,3699.0
2018-10-06 21:01:55.271277,Steppings Wedges Casuals Shoes,73,3299.0
2018-10-10 03:23:02.471277,Steppings Running Shoes Casuals Shoes,81,2999.0
2018-10-08 02:13:55.271277,Bonzer Bellies,68,699.0
2018-10-11 12:20:09.671277,Araanz by Tribhovandas Bhimji Zaveri Delhi Gold Diamond 18K Yellow Gold 18 K Ring,61,15720.0
2018-10-08 00:46:04.871277,Nishtaa Yellow Gold 22 K Ring,95,11880.0
2018-10-09 11:07:40.871277,Nishtaa Yellow Gold 22 K Ring,13,8700.0
2018-10-06 23:47:02.471277,Gritstones Solid Women's Track Pants,92,599.0
2018-10-09 12:30:43.271277,Gritstones Solid Women's Track Pants,64,599.0
2018-10-09 11:54:14.471277,Gritstones Solid Women's Track Pants,86,599.0
2018-10-08 01:48:00.071277,Gritstones Solid Women's Track Pants,59,599.0
2018-10-11 23:37:55.271277,Tapyti Casual Sleeveless Solid Women's Top,4,795.0
2018-10-09 05:59:02.471277,Tapyti Casual Short Sleeve Solid Women's Top,78,1135.0
2018-10-12 09:48:57.671277,Tapyti Casual Short Sleeve Solid Women's Top,34,1135.0
2018-10-09 05:39:21.671277,Tapyti Casual 3/4 Sleeve Solid Women's Top,8,845.0
2018-10-12 07:53:16.871277,Tapyti Casual Sleeveless Solid Women's Top,68,875.0
2018-10-07 18:17:45.671277,United Colors of Benetton Solid Round Neck Casual Women's Sweater,34,2099.0
2018-10-07 17:11:02.471277,Bonzer Bellies,6,999.0
2018-10-09 08:06:14.471277,Bonzer Bellies,59,999.0
2018-10-11 18:36:57.671277,BlueStone The Twin Wingflow Yellow Gold Diamond 18 K Ring,6,13010.0
2018-10-10 00:46:33.671277,Allen Solly Girl's Shift Dress,90,1499.0
2018-10-11 06:27:21.671277,Allen Solly Girl's Gathered Dress,74,1399.0
2018-10-07 00:16:48.071277,Ozel Studio Casual Full Sleeve Printed Women's Top,43,985.0
2018-10-08 00:22:33.671277,Ozel Studio Casual Full Sleeve Solid Women's Top,48,1425.0
2018-10-09 07:30:43.271277,Gee & Bee Casual Printed Women's Kurti,78,2164.0
2018-10-12 02:01:26.471277,WearYourShine by PCJ The Skyrah Gold Diamond 18 K Ring,14,10213.0
2018-10-11 13:28:48.071277,WearYourShine by PCJ The Dawnetta Gold Diamond 18 K Ring,29,10227.0
2018-10-09 02:17:16.871277,TeeMoods Casual Full Sleeve Striped Women's Top,57,1399.0
2018-10-12 05:16:19.271277,TeeMoods Casual Full Sleeve Striped Women's Top,80,1399.0
2018-10-07 00:30:14.471277,TeeMoods Casual Full Sleeve Striped Women's Top,34,1399.0
2018-10-08 01:12:28.871277,TeeMoods Casual Full Sleeve Striped Women's Top,62,1399.0
2018-10-11 00:20:38.471277,TeeMoods Casual Full Sleeve Striped Women's Top,18,1399.0
2018-10-10 05:55:40.871277,TeeMoods Casual Full Sleeve Striped Women's Top,53,1399.0
2018-10-08 12:34:04.871277,TeeMoods Casual Full Sleeve Striped Women's Top,62,1399.0
2018-10-12 09:41:16.871277,TeeMoods Casual Full Sleeve Striped Women's Top,70,1399.0
2018-10-10 16:15:21.671277,The Clove Casual 3/4 Sleeve Striped Women's Top,57,1499.0
2018-10-10 06:17:45.671277,Nun Casual Full Sleeve Striped Women's Top,79,1195.0
2018-10-08 03:59:31.271277,Moda Vastra Casual 3/4 Sleeve Graphic Print Women's Top,62,1799.0
2018-10-08 13:05:45.671277,Nishtaa Yellow Gold 22 K Ring,69,7180.0
2018-10-06 10:25:26.471277,Cation Casual 3/4 Sleeve Solid Women's Top,99,899.0
2018-10-07 15:52:19.271277,Cation Casual Short Sleeve Solid Women's Top,84,1099.0
2018-10-12 14:27:50.471277,Cation Casual 3/4 Sleeve Solid Women's Top,59,2800.0
2018-10-11 11:26:52.871277,Nishtaa Yellow Gold 22 K Ring,98,7810.0
2018-10-07 03:06:14.471277,Cation Casual Short Sleeve| 3/4 Sleeve Solid Women's Top,16,2600.0
2018-10-09 01:13:55.271277,Shopaholic Casual 3/4 Sleeve Solid Women's Top,76,1299.0
2018-10-06 18:46:33.671277,Fundoo T Full Sleeve Solid Men's Sweatshirt,32,1998.0
2018-10-11 13:46:33.671277,Cation Casual 3/4 Sleeve Printed Women's Top,68,1099.0
2018-10-08 22:16:48.071277,Fundoo T Full Sleeve Solid Men's Sweatshirt,12,1998.0
2018-10-07 12:05:45.671277,Goddess Women Casual 3/4 Sleeve Solid Women's Top,83,1199.0
2018-10-06 23:38:24.071277,BownBee Girl's Gathered Dress,55,999.0
2018-10-10 11:08:38.471277,Fundoo T Full Sleeve Solid Men's Sweatshirt,4,1998.0
2018-10-12 11:29:45.671277,Herberto Girl's A-line Dress,5,1699.0
2018-10-09 10:27:21.671277,Fundoo T Full Sleeve Solid Men's Sweatshirt,12,1998.0
2018-10-11 15:17:45.671277,Herberto Girl's A-line Dress,54,2999.0
2018-10-07 07:02:52.871277,Fundoo T Full Sleeve Solid Men's Sweatshirt,37,1998.0
2018-10-09 12:49:26.471277,Herberto Girl's High Low Dress,64,1899.0
2018-10-06 22:36:57.671277,Fundoo T Full Sleeve Solid Men's Sweatshirt,28,1998.0
2018-10-09 18:58:04.871277,Herberto Girl's A-line Dress,69,1599.0
2018-10-11 22:22:33.671277,Herberto Girl's A-line Dress,96,2999.0
2018-10-07 12:49:55.271277,Jewels Of Jaipur Gold Ruby Yellow Gold 14 K Ring,41,11076.0
2018-10-12 10:06:43.271277,Jewels Of Jaipur Gold Ruby Yellow Gold 14 K Ring,50,11587.0
2018-10-12 02:41:45.671277,BlueStone The Ziva Yellow Gold Diamond| Emerald 18 K Ring,85,31300.0
2018-10-08 10:05:16.871277,United Colors of Benetton Striped Round Neck Casual Women's Sweater,90,2499.0
2018-10-08 04:29:45.671277,United Colors of Benetton Solid Round Neck Casual Women's Sweater,11,2499.0
2018-10-07 03:59:02.471277,Tapyti Casual Full Sleeve Solid Women's Top,67,845.0
2018-10-09 18:11:31.271277,Elisabetta Bartolli Party Short Sleeve Solid Women's Top,1,2095.0
2018-10-07 16:39:50.471277,Tapyti Casual Short Sleeve Solid Women's Top,92,815.0
2018-10-12 04:54:14.471277,MSL Women Flats,42,499.0
2018-10-10 05:10:04.871277,Tapyti Party Sleeveless Solid Women's Top,22,1275.0
2018-10-06 09:18:14.471277,Nishtaa Yellow Gold 22 K Ring,45,9300.0
2018-10-09 18:38:52.871277,JDX Plain Bed/Sleeping Pillow,46,7999.0
2018-10-12 02:24:28.871277,Cation Casual 3/4 Sleeve Solid Women's Top,4,999.0
2018-10-09 10:16:48.071277,JDX Plain Bed/Sleeping Pillow,8,5299.0
2018-10-07 17:33:07.271277,Cation Casual 3/4 Sleeve Solid Women's Top,67,1998.0
2018-10-10 22:03:21.671277,JDX Plain Bed/Sleeping Pillow,78,5899.0
2018-10-10 08:48:00.071277,Cation Casual Short Sleeve Solid Women's Top,77,899.0
2018-10-12 05:33:36.071277,DailyObjects Back Cover for iPad Mini/Retina Display,45,1999.0
2018-10-11 07:57:07.271277,Life by Shoppers Stop Women's Gathered Dress,81,1399.0
2018-10-09 12:35:02.471277,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring,87,2975.0
2018-10-11 02:52:19.271277,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring,84,3675.0
2018-10-08 01:17:45.671277,Calgari Women's Gathered Dress,77,1799.0
2018-10-08 09:11:31.271277,Dumdaar.com Women's Gathered Dress,11,1699.0
2018-10-10 08:00:57.671277,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring,58,4525.0
2018-10-07 15:12:00.071277,Kiara Jewellery Silver Cubic Zirconia Rhodium Ring,76,3911.0
2018-10-07 18:19:40.871277,Krasns Couture Formal Sleeveless Solid Women's Top,93,2900.0
2018-10-11 05:44:38.471277,Forever Fashion Casual Sleeveless Solid Women's Top,96,1599.0
2018-10-08 14:32:38.471277,JDX Plain Bed/Sleeping Pillow,52,5899.0
2018-10-07 08:52:19.271277,JDX Plain Bed/Sleeping Pillow,35,7999.0
2018-10-12 05:17:45.671277,JDX Plain Bed/Sleeping Pillow,36,10999.0
2018-10-09 02:41:16.871277,Ishtaa Gold Cubic Zirconia 18 K Ring,51,8690.0
2018-10-07 02:48:57.671277,Selfcare Soft & Comfortable Newly Launched Girl's Top - Pyjama Set,38,749.0
2018-10-06 20:32:09.671277,Selfcare Soft & Comfortable Newly Launched Girl's Top,73,720.0
2018-10-09 03:01:55.271277,Selfcare Soft & Comfortable Newly Launched Girl's Pyjama,85,740.0
2018-10-09 18:57:07.271277,Selfcare Soft & Comfortable Newly Launched Girl's Pyjama,32,740.0
2018-10-08 11:49:26.471277,Selfcare Soft & Comfortable Newly Launched Girl's Pyjama,4,740.0
2018-10-08 10:42:14.471277,Selfcare Soft & Comfortable Newly Launched Girl's Top,69,720.0
2018-10-08 08:56:38.471277,Selfcare Girl's Top - Pyjama Set,69,749.0
2018-10-06 17:49:55.271277,BlueStone The Sestet Yellow Gold Diamond 14 K Ring,46,23124.0
2018-10-07 07:35:02.471277,YK Self Design Round Neck Casual Boy's Sweater,74,1199.0
2018-10-07 07:32:38.471277,Addyvero Geometric Print Round Neck Casual Boy's Sweater,89,1499.0
2018-10-06 16:08:38.471277,Next Steps Striped Round Neck Casual Boy's Sweater,11,599.0
2018-10-07 05:09:36.071277,BlueStone The Elettra Yellow Gold Diamond 18 K Ring,35,15916.0
2018-10-08 04:08:38.471277,Herberto Girl's A-line Dress,8,2899.0
2018-10-06 09:52:19.271277,Ozel Studio Casual Full Sleeve Floral Print Women's Top,69,1645.0
2018-10-06 09:03:50.471277,Navaksha Necktie Men's  Combo,11,1550.0
2018-10-10 08:22:04.871277,Navaksha Necktie Men's  Combo,74,1550.0
2018-10-06 18:26:24.071277,Navaksha Necktie Men's  Combo,56,1550.0
2018-10-12 13:30:14.471277,Navaksha Necktie Men's  Combo,30,1550.0
2018-10-10 05:01:26.471277,Navaksha Necktie Men's  Combo,77,1400.0
2018-10-08 20:52:48.071277,Navaksha Necktie Men's  Combo,60,1400.0
2018-10-10 01:51:50.471277,Superkids Solid Round Neck Casual Boy's Sweater,62,825.0
2018-10-08 23:45:07.271277,Bells And Whistles Striped Round Neck Boy's Sweater,61,1099.0
2018-10-11 20:51:21.671277,Babeezworld Solid Round Neck Boy's Sweater,72,1400.0
2018-10-12 00:28:19.271277,BlueStone The Crocio Band Yellow Gold Diamond 14 K Ring,2,22946.0
2018-10-09 22:11:31.271277,Betty Girl's Maxi Dress,25,1990.0
